n\d,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,1,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,0,0,0,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0,1,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,1,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,1,0,0,1,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,0,0,0,0,0,0,0,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,1,1,0,1,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,0,0,0,0,0,0,0,0,0,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,0,0,0,0,1,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,,
28,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1,,,,,,,,,,,,,,,,,,,,,
30,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,,,
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1,,,,,,,,,,,,,,,,,,,
32,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D0,,,,,,,,,,,,,,,,,,
